System Lookup Name,Display Name,Type,Units,Range Min Label,Range Max Label,Range Min Value,Range Max Value,Range Default Value,Range Step Interval,Show Internally,Show Customer,System Variable
PowerSupplies60w,150w Power Supply Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
FlagWeight,Additional Weight Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Assembly_5min,5 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Kiss_Cut_Vinyl_SqFt,Kiss Cut Vinyl Sq Ft,Numeric,Sqft,,,,,,,Yes,No,No
Depth,Depth,Numeric,Inches,,,,,,,Yes,Yes,Yes
number_of_screens,# of Screens,Numeric,Unit,,,,,,,Yes,No,No
Stitch_Count,Stitch,Numeric,Unit,,,,,,,Yes,Yes,No
Creasing,Creasing,Boolean,Boolean,,,,,,,Yes,Yes,No
Spot_White,Spot White (Transparent Background),Boolean,Boolean,,,,,,,Yes,Yes,No
Leds_Back_Qty,Back Halo Led Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Overs_Percent,Overs,Numeric,%,,,,,,,Yes,No,No
Vinyl_Color_5_Percentage,Vinyl Color 5 Coverage,Numeric,Unit,,,,,,,Yes,No,No
Bleed,+Bleed,Numeric,Inches,,,,,,,Yes,Yes,No
Tape_Bottom,Tape Bottom,Boolean,Boolean,,,,,,,Yes,Yes,No
Mounting_Pad_GI00,1in GI-00 Perforated Mounting Pad,Boolean,Boolean,,,,,,,Yes,Yes,No
Leds_Front_Qty,Front Face Led Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Pattern_Stencil_Qty,Pattern/ Stencil Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Solid_Color,Solid Color,Boolean,Boolean,,,,,,,Yes,Yes,No
Studs_3in,3in Studs,Boolean,Boolean,,,,,,,Yes,Yes,No
BizCardFinish_RoundedCorners200_500,200 - 500 Cards,Boolean,Boolean,,,,,,,Yes,No,No
Thru_Cut_Thin,Thru Cut,Boolean,Boolean,,,,,,,Yes,Yes,No
Shop_Hrs,Production/Assembly Time (hrs),Numeric,Unit,,,,,,,Yes,No,No
Name_Tag_Magnets,Magnetic,Boolean,Boolean,,,,,,,Yes,Yes,No
