System Lookup Name,Display Name,Type,Units,Range Min Label,Range Max Label,Range Min Value,Range Max Value,Range Default Value,Range Step Interval,Show Internally,Show Customer,System Variable
Contour_cut,Contour Cutting,Boolean,Boolean,,,,,,,No,No,No
HorizontalFlutes,Horizontal Flutes,Boolean,Boolean,,,,,,,Yes,Yes,No
WhiteFullPageCoverage,White Full Page Coverage,Boolean,Boolean,,,,,,,Yes,Yes,No
Lit_WallSigns_Individual,Wall Signs (Individual),Boolean,Boolean,,,,,,,Yes,Yes,No
Assembly_1hr,1 hr,Boolean,Boolean,,,,,,,Yes,Yes,No
PowerSupplies150w,150w Power Supply Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Diameter_in_yards,Diameter,Numeric,Yard,,,,,,,Yes,Yes,Yes
Substrate_Color_3_Percentage,Substrate 3 Percentage,Numeric,Unit,,,,,,,Yes,No,No
Tape_Sides,Tape Sides,Boolean,Boolean,,,,,,,Yes,Yes,No
Name_Badges_Lanyard,Lanyard,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_Hrs,Design Time (Hours),Numeric,Unit,,,,,,,Yes,No,No
ConcreteFooting3ftRoundx5ftDepth,Round Concrete Footing 3ft w x 5ft Depth,Boolean,Boolean,,,,,,,Yes,No,No
Tape_2in_Pieces,Tape 2in Pieces,Numeric,Unit,,,,,,,Yes,Yes,No
Pole_Pocket_Bottom,Pole Pocket Bottom,Boolean,Boolean,,,,,,,Yes,Yes,No
Width,Width,Numeric,Inches,,,,,,,Yes,Yes,Yes
Select,Select,Boolean,Boolean,,,,,,,No,No,No
Name_Badges_Clip_Retractable,Retractable Clip,Boolean,Boolean,,,,,,,Yes,Yes,No
CL_Led_Qty_1stColor,Led's Qty (1st Color),Numeric,Unit,,,,,,,Yes,Yes,No
RunLength_Conduit,EMT Conduit Length:,Numeric,Inches,,,,,,,Yes,Yes,No
Hemtek_30mmHem,Hem 30mm - 1.18in,Boolean,Boolean,,,,,,,Yes,Yes,No
All_Sizes_Entered,All Sizes Entered,Boolean,Boolean,,,,,,,Yes,Yes,No
Grommets_Bottom,Grommets Bottom,Boolean,Boolean,,,,,,,Yes,Yes,No
Trimcap_Length,Trimcap Length,Numeric,Inches,,,,,,,Yes,Yes,No
Foldable,Foldable,Boolean,Boolean,,,,,,,Yes,Yes,No
number_controllers,# of Controllers,Numeric,Unit,,,,,,,Yes,No,No
Length,Length,Numeric,Inches,,,,,,,Yes,Yes,Yes
Bindery_Cost,+Bindery Cost,Numeric,Unit,,,,,,,Yes,Yes,No
Wrap_flat_install_sqft,Install (Box Truck Sq. Ft),Numeric,Sqft,,,,,,,Yes,Yes,No
Number_Colors,No. of Colors,Numeric,Unit,,,,,,,Yes,Yes,No
Channel_Coil_Length_2ndColor,Channel Coil Length (2nd Color),Numeric,Inches,,,,,,,Yes,No,No
Assembly_45min,45 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_5mins_AddDockNum,Add. Dock Numbers (5 Mins):,Numeric,Unit,,,,,,,Yes,No,No
Pole_Pocket_2_5_86in_144in,2.5in Pole Pocket: 86in h x 144in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Grommets_Top_Corners,Grommets Top Corners Only,Boolean,Boolean,,,,,,,Yes,Yes,No
Double_Sided,Double Sided,Boolean,Boolean,,,,,,,Yes,Yes,No
Raceway_Painting,Raceway Painting,Numeric,Unit,,,,,,,Yes,Yes,No
Height_Sign_From_Ground,Sign Starting Height: (Max 5ft),Numeric,Feet,,,,,,,Yes,Yes,No
Banner_Hem_All_Sides,Hem- All Around (Perimeter),Boolean,Boolean,,,,,,,Yes,Yes,No
Install15,Install15,Boolean,Boolean,,,,,,,Yes,No,No
PowerSupplies100w,100w Power Supply Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Size_5ft_h_10ft_w,5ft x 10ft,Boolean,Boolean,,,,,,,Yes,Yes,No
Install,Install,Boolean,Boolean,,,,,,,Yes,Yes,No
Coroplast_Aframe4x5ft,4ft h x 5ft w Finished Size,Boolean,Boolean,,,,,,,Yes,Yes,No
Tent_FullWall,Full Wall,Numeric,Unit,,,,,,,Yes,Yes,No
QTY_Num_Pages,QTY Num of Pages,Numeric,Unit,,,,,,,Yes,Yes,No
Tent_FlagHolder,Flag Holder,Numeric,Unit,,,,,,,Yes,Yes,No
Studs_2in,2in Studs,Boolean,Boolean,,,,,,,Yes,Yes,No
Trimcap_Length_3rdColor,Trimcap Length (3rd Color),Numeric,Inches,,,,,,,Yes,Yes,No
HourlyQty,Hours in Decimals,Numeric,Unit,,,,,,,Yes,Yes,No
Cutting,Cutting,Boolean,Boolean,,,,,,,Yes,No,No
Design_FlexFace,Flex Face (# of Colors),Numeric,Unit,,,,,,,Yes,Yes,No
Indoor,Indoor,Boolean,Boolean,,,,,,,Yes,Yes,No
Name_Badges_Clip,Clip,Boolean,Boolean,,,,,,,Yes,Yes,No
Bucket_Truck,Bucket Truck,Boolean,Boolean,,,,,,,Yes,Yes,No
Tent_HalfWall_1S_Qty,1 Sided Half Wall Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Paint_SubContract,Paint,Numeric,Unit,,,,,,,Yes,Yes,No
Vinyl_Color_3_Percentage,Vinyl Color 3 Coverage,Numeric,Unit,,,,,,,Yes,No,No
Tent_HalfWall_2S_withHardwareQty,2 Sided Half Wall w/Hardware Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Design_10mins_AddBizcards,Add. Buisness Cards (10 Mins):,Numeric,Unit,,,,,,,Yes,No,No
Pole_Pocket_2_5_86in,2.5in Pole Pocket: 86in h x 120in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Spacer_Qty,Spacer Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Design_1mins_AddClientPrintReady,Add. Client Print Ready (1min),Numeric,Unit,,,,,,,Yes,No,No
CL_Led_Qty,Led Quantity,Numeric,Unit,,,,,,,Yes,No,No
Channel_Letter_Cabinet,Channel Letter Cabinet (Up to 32 sq ft),Boolean,Boolean,,,,,,,Yes,Yes,No
X_Banner_Stand_24,24in Single Sided (Finished Size: 24in w x 63in h),Boolean,Boolean,,,,,,,Yes,Yes,No
MDO_Middle_Vertical,Middle Vertical Brace,Boolean,Boolean,,,,,,,Yes,Yes,No
Mounting_Pad_GI01,1.75in GI-01 Perforated Mounting Pad,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_Lit_Wall_Sign,Lit Wall Sign,Boolean,Boolean,,,,,,,Yes,No,No
Wrap_Back_Bumper,Back Bumper,Boolean,Boolean,,,,,,,Yes,Yes,No
Accesssory4_Qty,Accesssory#4 Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Install_1_Man,Install (1 Man),Numeric,Unit,,,,,,,Yes,No,No
Badge_Accessory_Cut,Accessory Cut Only,Boolean,Boolean,,,,,,,Yes,Yes,No
Rotate_90,Rotate 90°,Boolean,Boolean,,,,,,,Yes,Yes,No
Scaffold_Small,Scaffold Slim 6ft,Numeric,Unit,,,,,,,Yes,Yes,No
LetterThickness5in,.5in Thick,Boolean,Boolean,,,,,,,Yes,Yes,No
Design,Design,Boolean,Boolean,,,,,,,Yes,No,No
Push_Thru_SqFt,Push Thru Sq Ft,Numeric,Unit,,,,,,,Yes,No,No
Accesssory2_Qty,Accesssory#2 Quantity,Numeric,Unit,,,,,,,Yes,Yes,No
Electrical_Box_4x4,Electrical Box 4in x 4in Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Tent_TopPrintQty,Tent Top Cover Print,Numeric,Unit,,,,,,,Yes,Yes,No
Packaging_Cost,+ Packaging Costs,Numeric,Unit,,,,,,,Yes,Yes,No
Board_foot,Board Foot,Numeric,Cuft,,,,,,,Yes,Yes,Yes
Paint_Hrs,Painting Time,Numeric,Unit,,,,,,,Yes,No,No
Die_Cut_Cost,+Diecut Cost,Numeric,Unit,,,,,,,Yes,Yes,No
Wrap_Front_Bumper,Front Bumper,Boolean,Boolean,,,,,,,Yes,Yes,No
Raised_Printing,SwissQ- 3D Raised Printing,Boolean,Boolean,,,,,,,Yes,Yes,No
Grommets_All_Around,Grommets- All Sides,Boolean,Boolean,,,,,,,Yes,Yes,No
Wiring_Hrs,Electrical/Wiring Time,Numeric,Unit,,,,,,,Yes,No,No
Clamps_Qty,Conduit U Channel Clamps Qty:,Numeric,Unit,,,,,,,Yes,Yes,No
Deliver,Deliver,Boolean,Boolean,,,,,,,Yes,Yes,No
FlagCarryingCaseX_XL,Optional Carrying Case X-XL,Numeric,Unit,,,,,,,Yes,Yes,No
Design_10mins_AddBarcodes,Add. Barcodes (10 Mins):,Numeric,Unit,,,,,,,Yes,No,No
LetterThickness1in,1in Thick,Boolean,Boolean,,,,,,,Yes,Yes,No
Collate,Collate,Boolean,Boolean,,,,,,,Yes,Yes,No
Folding,Folding,Boolean,Boolean,,,,,,,Yes,Yes,No
Tape_Left,Tape Left,Boolean,Boolean,,,,,,,Yes,Yes,No
Tent_weights4,Sandbag Weight Set (4),Numeric,Unit,,,,,,,Yes,Yes,No
Post_Total_Height,Post Total Height,Numeric,Feet,,,,,,,Yes,Yes,No
Conduit_Wiring_Length,Conduit Wiring Length (12-2),Numeric,Inches,,,,,,,Yes,Yes,No
FlexFaceNoClips,No Clips,Boolean,Boolean,,,,,,,Yes,Yes,No
Exisiting_Design,Existing Design with Changes,Boolean,Boolean,,,,,,,Yes,No,No
Assembly_30min,30 mins,Boolean,Boolean,,,,,,,Yes,Yes,No
Pattern_Stencil,Pattern/ Stencil,Boolean,Boolean,,,,,,,Yes,Yes,No
Design_45mins,45 Mins,Boolean,Boolean,,,,,,,Yes,No,No
DoNotSelect,Do Not Select,Boolean,Boolean,,,,,,,No,No,No
FlexFaceScrewClamp,Angle Frame Screw Clamp,Boolean,Boolean,,,,,,,Yes,Yes,No
Epson_Printing,Epson Printing,Boolean,Boolean,,,,,,,Yes,Yes,No
MDOSignHeight,Final Sign Height: (Max 9ft),Numeric,Feet,,,,,,,Yes,Yes,No
Design_30mins,30 Mins,Boolean,Boolean,,,,,,,Yes,No,No
CL_PowerSupplyBox_2,Paige Box ( 2 Power Supplies per box),Numeric,Unit,,,,,,,Yes,Yes,No
MDOHole_Depth,Install Depth (3ft Recommended),Numeric,Feet,,,,,,,Yes,Yes,No
Design_monument,Monument,Boolean,Boolean,,,,,,,Yes,No,No
RGB_Indoor,RGB Indoor,Boolean,Boolean,,,,,,,Yes,Yes,No
Pole_Pocket_2in,Pole Pocket 2in,Boolean,Boolean,,,,,,,Yes,Yes,No
Assembly_Canvas,Canvas Assembly,Boolean,Boolean,,,,,,,Yes,Yes,No
Height_in_yards,Height,Numeric,Yard,,,,,,,Yes,Yes,Yes
Design_1_5mins_AddHangTagNumbering,Add. Hang Tag Numbering (1.5 Mins):,Numeric,Unit,,,,,,,Yes,No,No
Extrustion_Cabinet,Extrusion Cabinet,Boolean,Boolean,,,,,,,Yes,Yes,No
Straps,Straps,Boolean,Boolean,,,,,,,Yes,Yes,No
ClientPrintReadyArtwork,Client Print Ready Artwork,Boolean,Boolean,,,,,,,Yes,Yes,No
Vinyl_Faces,Translucent Vinyl on Faces,Boolean,Boolean,,,,,,,Yes,No,No
Pole_Pocket_2in_88in,2in Pole Pocket: 88in h x 120in w,Boolean,Boolean,,,,,,,Yes,Yes,No
Height,Height,Numeric,Inches,,,,,,,Yes,Yes,Yes
Acrylic_3D_Return_Length,Return Length,Numeric,Unit,,,,,,,Yes,No,No
FlagCrossBase,Optional Cross Base:,Numeric,Unit,,,,,,,Yes,Yes,No
Wrap_Front_Bumper_Simple,Front Bumper Simple,Boolean,Boolean,,,,,,,Yes,Yes,No
Grommets_Top,Grommets Top,Boolean,Boolean,,,,,,,Yes,Yes,No
LedScreen_AdditionalController,Additonal Controller for Individual Content per Screen or Side,Boolean,Boolean,,,,,,,Yes,Yes,No
CustomShape_Channel_Letter_Cabinet,Custom Shape Channel Letter Cabinet,Boolean,Boolean,,,,,,,Yes,Yes,No
